dialect,standard,region
그마이,그만큼,경상도
해두가,해줘,경상도
믄소리고,무슨소리야,경상도
맞제,맞지,경상도
우짜노,어떻게하지,경상도
우예라꼬,어떡하라고,경상도
대다,힘들다,경상도
주깨다,이야기하다,경상도
잠오다,졸립다,경상도
씁다,쓰다,경상도
짭다,짜다,경상도
짜워,짜,경상도
점마,저놈아,경상도
금마,그놈아,경상도
치아라,됐다,경상도
단디,실수없이,경상도
마이,많이,경상도
믓다,먹다,경상도
쌔그랍다,시다,경상도
아래께,그저께,경상도
파이다,나쁘다,경상도
공구다,세워놓다,경상도
정구지,부추,경상도
땡초,청양고추,경상도
은다,안한다,경상도
고마,이제,경상도
됐니더,됐습니다,경상도
걸처지다,거치적거리다,경상도
만다꼬,뭐한다고,경상도
그라입시더,그렇게합시다,경상도
쫌,그러지좀마,경상도
단디해라,조심해서다녀와라,경상도
뭐꼬,무슨일이야,경상도
가가,그애가,경상도
가뜨카나,가뜩이나,경상도
가래이,가랑이,경상도
가레이나무를하다,소나무잎사귀를채취하다,경상도
가르매,가리마,경상도
가리,가루,경상도
가리다,나누다,경상도
가리미,가르마,경상도
가마이,가마니,경상도
가매,가마니,경상도
가시개,가위,경상도
가새,가위,경상도
가시게,가위,경상도
까시게,가위,경상도
가시나,여자,경상도
가심,가슴,경상도
가여,간다,경상도
가온대,가운데,경상도
가재,가게,경상도
가직하다,가깝다,경상도
가직히,가까이,경상도
간바가지,나무바가지,경상도
갈바람,남서풍,경상도
갈비를껌다,소나무잎사귀를채취하다,경상도
갈치다,가르치다,경상도
갋다,참견하다,경상도
강새이,강아지,경상도
갈애보다,비교하다,경상도
개겁다,가볍다,경상도
개꽃,철쭉,경상도
개똥벌개이,개똥벌레,경상도
개낭내이,개망나니,경상도
객구,객귀,경상도
갱분,강변,경상도
거랑,도랑,경상도
거렁지,그늘,경상도
거무,거미,경상도
거새이,지렁이,경상도
거저말,거짓말,경상도
건디기,건더기,경상도
걸까,개울,경상도
걸뱅이,거지,경상도
걸배이,거지,경상도
